station,lat,lon,hp,country,fog,visibility,datetime
ZILAIR,5223,5746,520.88,Russian Federation,45,500 m,2025112312
"LEXINGTON/BLUE GRASS, KY.",3803,27540,301,United States of America,41,400 m,2025112312
PORT KEATS AIRPORT,-1423,12951,29,Australia,41,,2025112312
POLTAVA,4960,3453,160,Ukraine,43,200 m,2025112309
DOUGLAS RIVER,-1383,13118,44.2,Australia,41,,2025112309
ARAUCANIA,-3893,28735,0,Chile,45,700 m,2025112309
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112309
KIROVOHRAD,4853,3228,171,Ukraine,45,400 m,2025112309
BRAVICEA,4736,2843,78,Republic of Moldova,45,500 m,2025112309
BOGUCAR,4993,4056,83.57,Russian Federation,45,500 m,2025112309
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112309
LISKI,5100,3950,115,Russian Federation,47,500 m,2025112309
CHAPAEVO,5020,5116,17,Kazakhstan,47,500 m,2025112309
SPRINGBOK,-2966,1786,1006,South Africa,40,3000 m,2025112309
LA PAZ/ALTO,-1651,29182,4038,"Bolivia, Plurinational State of",40,4000 m,2025112309
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,200 m,2025112309
"ANCHORAGE/INT., AK",6115,21002,43.8,United States of America,41,800 m,2025112309
EL'TON,4913,4685,5.78,Russian Federation,47,500 m,2025112309
BAGUIO,1640,12060,1501,Philippines,40,8 km,2025112309
LUBNY,5000,3298,158,Ukraine,45,500 m,2025112309
CHOJNICE,5370,1751,171.9,Poland,49,500 m,2025112309
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025112309
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112309
TRIPOLIS (AIRPORT),3751,2238,651.3,Greece,41,,2025112309
KRAPINA,4613,1588,203.09,Croatia,43,400 m,2025112309
NIKEL',6940,3020,92.1,Russian Federation,12,20 km,2025112309
UMAN',4876,3021,216,Ukraine,45,500 m,2025112309
KONSTANTINOVSK,4758,4110,62.04,Russian Federation,45,200 m,2025112309
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,200 m,2025112309
MALINOVKA,4978,12991,115.6,Russian Federation,44,500 m,2025112309
GORZOW WLKP,5273,1526,72.55,Poland,48,900 m,2025112309
"EUGENE/MAHLON SWEET, OR.",4411,23679,114,United States of America,41,400 m,2025112309
